
t,x,y,z
3592,-160,7808,656
5340,-208,7936,1072
7088,-336,7808,704
8828,-272,8176,816
10564,-288,7744,896
12344,-288,7824,800
14124,-272,7888,688
15904,-384,7936,688
17672,-368,7856,656
19448,-272,7824,656
21224,-176,7824,672
23004,-512,7856,592
24788,-352,7776,720
26568,-208,7840,864
28344,-304,7792,608
30112,-272,7824,704
31888,-320,7904,560
33664,-176,7904,656
35448,-384,7920,624
37212,-304,7824,528
38988,-272,7760,704
40760,-336,7824,752
42544,-128,7872,688
44312,-256,7824,688
46088,-176,7872,704
47860,-448,7744,864
49640,-448,7792,672
51420,-352,7728,832
53200,-384,7824,928
54980,-320,7808,768
56756,-400,8032,784
58532,-336,7872,928
60304,-368,7824,800
62100,-544,7712,1024
63884,-192,7840,928
65668,-336,7840,800
67444,-224,7808,864
69220,-368,7776,736
70984,-256,7792,848
72764,-496,7936,800
74544,-288,7808,800
76328,-416,7808,784
78108,-272,7776,1024
79900,-288,7808,864
81684,-352,7808,1072
83468,-352,7888,960
85244,-416,7872,720
87016,-128,7712,864
88808,-304,7760,1184
90596,-352,7872,864
92380,-336,7840,880
94156,-336,7712,752
95940,-256,7520,736
97716,-528,7840,848
99496,-96,7872,1024
101264,-224,7808,688
103076,-528,7904,976
104896,-352,7824,1008
106720,-224,7824,816
108524,-208,7856,848
110336,-320,7760,848
112148,-336,7760,688
113948,-256,7824,704
115764,-496,7872,720
117568,-352,7744,944
119384,-336,7712,704
121184,-400,7840,656
123000,-384,7760,784
124808,-288,7888,768
126620,-224,7696,688
128432,-176,7584,784
130248,-432,7744,592
132048,-96,7904,832
133852,-224,7808,800
135664,-336,7808,864
137480,-272,7920,992
139296,-352,7840,736
141104,-352,7824,704
142912,-208,7776,768
144724,-272,7840,896
146548,-368,7840,1040
148364,-384,7856,800
150180,-368,7856,736
151992,-432,7824,544
153820,-160,7840,1200
155640,-320,7872,640
157452,-304,7872,880
159280,-272,7680,1024
161088,-304,7760,848
162904,-416,7888,928
164700,-80,7808,832
166500,-96,7872,1120
168304,-304,7696,928
170120,-352,7728,864
