
t,x,y,z
3592,-240,7984,512
5332,-304,7872,384
7060,-256,7808,576
8792,-224,7920,624
10536,-320,7792,752
12320,-464,7888,768
14092,-256,7920,576
15868,-368,7824,768
17644,-304,7872,976
19420,-288,7840,640
21200,-272,7840,720
22976,-144,7776,784
24756,-304,7776,512
26528,-320,7808,672
28304,-336,7904,752
30076,-272,7808,576
31860,-304,7840,768
33632,-240,7872,736
35404,-288,7856,896
37176,-400,7904,672
38960,-416,7888,832
40736,-240,7856,768
42532,-208,7840,1008
44296,-80,7872,784
46048,-208,7904,912
47832,-192,7792,816
49604,-96,7984,784
51364,-160,7296,160
53156,1152,7488,-1904
54972,2128,7744,7040
56792,-18384,9344,3840
58632,12304,7536,7024
60460,22160,3520,-1504
62304,25488,13808,-7776
64160,-7696,9104,13040
66000,27472,6160,4000
67844,10368,8560,-17168
69692,3984,8592,5040
71504,1200,-5280,21856
73352,-14864,16944,-3104
75204,-21360,8048,5072
77048,9840,8848,-10912
78884,-10960,4672,4160
80708,8384,7888,8816
82532,-7008,10320,-3744
84380,-24896,432,-11280
86228,4672,8208,4032
88068,-15888,7696,-14368
89940,4176,10464,11584
91788,12096,2880,10768
93632,-17632,12288,-2384
95492,-2912,6512,-2992
97328,1568,10640,-2880
99148,-9728,2704,7168
100976,9072,12032,-6608
102824,-2480,8192,512
104668,-6032,6400,1104
106516,5904,6384,7360
108380,-11952,11456,-8480
110256,2832,-752,3440
112132,11312,13024,19808
114012,-21808,-2384,1424
115900,7296,11808,-6304
117764,6304,5888,-1344
119612,7280,9504,4704
121464,22320,432,12096
123324,-12704,13440,512
125204,4032,5088,-11600
127068,5632,7328,6832
128936,-20512,13024,-8096
130808,-1040,-160,9600
132676,-4128,12336,-7376
134560,-4496,4176,-7680
136432,8608,7568,2560
138284,-12816,8336,-8080
140156,3760,8720,3680
141996,-8464,9264,2112
143864,-15152,4496,-2368
145740,-7024,5168,4720
147584,-80,11168,-3584
149424,5536,5904,3712
151256,384,4304,4176
153112,-13840,16128,6992
154988,11808,2688,-592
156844,15536,5328,6256
158692,480,14080,-6928
160540,4192,2224,1568
162384,1744,7696,7856
164244,1392,10784,9088
166068,-48,2896,-1408
167900,-4240,9248,-400
169748,6352,9584,3392
171620,12592,14688,-7296
173480,-3792,-304,1232
175332,7392,9664,-7120
177192,7760,10464,2240
179032,4896,816,-8336
180880,2352,5744,3072
182720,-3040,11056,1696
184568,-736,2336,512
186400,2224,6384,9232
188268,-14720,14160,-12752
190176,-10624,4528,5120
192040,-704,8320,-4048
193900,-11968,8608,2928
195772,-4784,6464,-8304
197640,1680,7056,-4544
199488,5536,5632,2352
201352,16640,15120,2576
203200,-576,6768,4992
205036,6304,4336,592
206868,5616,5360,-2240
208720,-1216,14448,2560
210600,18656,3104,3056
212464,2208,10608,1824
214324,-12992,1424,2752
216200,10992,6896,2096
218048,1008,9680,4672
219892,-4816,5360,4672
221760,3904,12288,4112
223612,-2192,9744,1936
225456,-2736,5776,-320
227288,944,7872,2304
229124,6928,5168,-3584
230992,2528,12304,4784
232848,-9168,5200,-4560
234728,-8720,12304,1328
236604,4304,1216,5968
238440,-1920,9440,-4672
240308,-1232,5440,4352
242160,6432,15008,784
244000,-3936,5712,1680
245852,-10656,480,6816
247720,12848,14896,-1680
249600,8224,9792,-5664
251464,-2704,15600,4608
253344,-20112,2496,-3248
255224,12336,8928,912
257092,15200,10016,-1680
258980,-4208,12160,-5312
260860,-3696,7184,3776
262716,-3488,7536,4320
264552,5744,8704,160
266404,11952,4992,-2416
268284,-5680,11184,-4496
270160,-5920,6720,6256
272016,4576,8864,-5856
273876,-3072,10432,2624
275712,-272,-864,3440
277560,-592,11904,-3248
279428,3984,4160,-1840
281280,6592,5872,8784
283152,-15776,12416,-2112
285044,-20064,3888,4032
286900,4560,6848,800
288744,-7120,15536,-6464
290624,3888,5376,4816
292444,9632,6032,-96
294272,-12000,7680,-160
296140,-6032,3536,8304
297980,7264,5536,-2704
299844,5808,16976,2272
301708,7504,4672,10064
303556,8704,3264,-6016
305424,-5344,14096,-1376
307304,-10080,4560,-384
309176,9568,14304,-3536
311044,6896,4896,-8176
312900,-7840,3824,9216
314760,10112,8928,-5568
