
t,x,y,z
3620,8480,11024,4144
5408,9520,5056,-640
7280,7760,13040,-4384
9096,7536,3728,7344
10944,-2576,9344,-3312
12824,22416,1248,7072
14708,7600,8112,-3888
16552,-6160,9232,0
18420,3584,2704,5648
20292,-5856,6048,1296
22176,-25104,8256,7104
24096,-15632,10864,-7664
26028,6384,16080,-3088
27964,11040,15152,-5632
29892,3776,-1760,-368
31784,10048,8688,-2624
33684,18128,12896,7248
35596,-3168,8624,-2016
37512,-13584,-3696,13504
39424,-2272,5936,3600
41316,-17488,6464,320
43204,-18992,8336,-6400
45116,2768,8192,4352
46992,16768,7216,-5808
48900,10960,20800,-7664
50796,2288,8368,-384
52680,10656,5568,784
54552,7536,6608,8480
56412,-6480,8784,-208
58300,-15184,5232,9840
60172,-7184,5936,336
62048,-9632,6016,496
63928,3152,6928,8880
65808,17408,12480,880
67736,15376,6480,9744
69584,6016,5904,0
71476,-12304,2160,1536
73360,1744,9024,-3200
75244,-6240,10176,-4272
77160,-18800,4432,576
79056,-16912,17280,2144
80988,2656,5616,4672
82864,6368,11392,5712
84760,-1296,11392,2320
86696,11456,10960,6400
88580,22128,1376,960
90492,-14768,11504,-10576
92416,-23360,5120,5920
94408,1728,560,-4208
96276,592,7792,-1888
98176,-8560,11040,11024
100284,-6032,4656,2016
102332,15424,6800,-2944
104456,-8112,10096,-432
106612,10704,7296,-3696
108700,-4656,9712,4560
110716,-80,7008,-4720
112716,15616,12080,-5408
114892,-944,11344,-864
116956,15008,9232,2848
118984,7328,8576,3776
120928,-6672,9840,-976
122992,12976,4640,9344
125036,23600,8384,-7424
127160,-4240,10704,6480
129296,17408,2736,-400
131344,1712,10144,1040
133348,5936,3968,9472
135292,-816,2944,-1072
137344,-5776,6512,5120
139396,-14992,5680,-5536
141612,-1808,4944,2928
143656,-3152,9040,2704
145696,-8032,7392,-6544
147796,-2176,5376,2416
149836,-10528,3920,-896
151956,-8416,5168,5344
154008,-5664,10880,-4992
156196,-3984,6752,-272
158236,976,6448,-2528
160216,-13184,8832,-1552
162416,4704,3856,5152
164388,29696,13024,-3360
166572,-3184,7776,-160
168632,-5248,11040,1696
170748,-14960,928,5200
172784,11536,5200,144
174756,15392,13808,6096
176872,6800,14512,-7920
179000,8496,11664,3040
181028,-3920,5056,1152
183076,15104,8416,1568
185120,14832,8272,-2672
187232,-4960,7568,5424
189276,9456,6016,5824
191232,5792,7056,-1088
193292,14960,10944,1984
195392,-2128,9792,1024
197420,-5488,832,5296
199388,-5152,5456,8192
201440,-10576,2096,2032
203552,6720,7056,-2768
205592,-5728,13136,384
207636,-1584,-1536,-2592
209860,-10256,15280,944
211988,-1584,6832,10272
214116,6928,9904,-18880
216228,1664,4544,7472
218184,-7024,8320,-5296
220316,-27920,7232,7568
222416,5872,-288,2816
224396,12592,9712,-5104
226484,3920,16464,0
228404,-15824,13488,-7440
230600,-25232,9248,7616
232736,4064,-1984,-1104
234848,4784,10512,-2960
236984,15088,12096,1840
239120,-18208,14352,-13520
241464,-22480,8864,672
243524,12896,7840,-13456
245724,-17440,5264,8656
247844,7056,5968,-3472
249896,-21776,2240,8912
