
t,x,y,z
3592,-112,7920,768
5332,-336,7856,704
7056,-224,7920,800
8792,-192,7776,672
10536,-176,7840,560
12308,-96,7936,576
14056,-208,7920,704
15840,-304,7776,656
17624,-288,7808,368
19400,-240,7760,544
21176,-288,7808,640
22944,-352,7680,672
24712,-80,7808,512
26460,-304,7808,576
28236,-368,7776,752
30008,-384,7936,640
31792,-144,7904,640
33572,-368,7728,768
35352,-304,7776,608
37128,-208,7792,592
38900,-304,7856,656
40680,-160,7968,976
42464,-272,7936,896
44244,-352,7792,624
46024,-208,7648,688
47792,-96,7840,768
49556,-400,7872,576
51348,-512,7856,1056
53136,-400,7856,816
54920,-352,7968,720
56692,-320,7824,832
58468,-288,7776,720
60228,-16,7920,720
61992,-384,7792,736
63756,-464,7744,656
65524,-224,7936,640
67304,-288,7664,768
69088,-336,7696,864
70868,-416,7824,928
72648,-336,7888,736
74424,-304,7856,800
76188,-208,7712,800
77968,-240,7760,928
79744,-448,7696,848
81528,-288,7872,880
83296,-464,7840,800
85060,-32,7808,944
86816,-288,7728,768
88600,-224,7744,576
90368,-304,7808,816
92140,-208,7840,832
93920,-336,7808,816
95708,-272,7840,768
97492,-336,7840,592
99268,-320,7856,720
101044,-288,7728,800
102860,-464,7872,832
104676,-320,7728,800
106480,-400,7760,800
108288,-288,7744,672
110100,-480,7824,688
111900,-384,7936,704
113716,-400,7856,800
115520,-400,7968,800
117348,-240,7888,1264
119172,-256,7808,704
120980,-304,7792,832
122788,-432,7776,768
124596,-336,7840,944
126404,-16,7760,704
128224,-464,7872,1024
130040,-368,7840,992
131848,-368,7856,880
133664,-272,7856,832
135492,-272,7872,1280
137324,-128,7808,1008
139140,-528,7664,960
140952,-176,7952,848
142744,-80,7888,896
144548,-432,7808,944
146352,-192,7792,896
148168,-128,7776,880
149992,-544,7888,1136
151816,-112,7856,848
153632,-416,7872,912
155440,-336,7952,832
157248,-352,7824,848
159072,-288,7760,1056
160896,-512,7872,768
162716,-432,7808,1152
164536,-320,7872,944
166364,-560,7888,1024
168180,-288,7840,928
169992,-288,7808,784
171796,-384,7728,912
173608,-432,7568,832
175420,-480,7856,912
177232,-496,7968,944
179036,-112,7936,848
180852,-128,7728,752
182680,-208,7680,1056
184508,-304,7728,1072
186340,-304,7776,1184
188168,-160,7808,1232
189996,-80,7936,1056
191800,-224,7920,976
193612,-288,7872,752
195416,-528,7824,944
197224,-400,7856,768
199032,-192,7776,736
200844,-112,7920,960
202648,-320,7744,848
204456,-432,7856,560
206268,-400,7760,864
208084,-336,7792,768
209888,-272,7824,960
211696,-512,7776,736
213508,-288,7728,944
215308,-304,7744,784
217124,-240,7968,992
218932,-224,8000,592
220752,-128,7824,1120
222580,-288,7968,976
224392,-304,7824,912
226196,-272,7824,944
228008,-336,7632,992
229816,-96,7760,1024
231636,-320,7808,800
233436,-272,7856,992
235248,-544,7808,864
237060,-352,7920,960
238860,-416,7712,960
240680,-304,7888,928
242480,-160,7824,896
244292,-224,7744,928
246104,-496,7792,768
247932,-288,7920,1056
249760,-208,7872,1056
251588,-304,7744,1088
253420,-160,7840,1216
255240,-192,7760,960
257068,-384,7936,1088
258880,-384,7776,992
260692,-176,7824,992
262512,-288,7760,1040
264340,-464,7776,1072
266152,-272,7888,880
267984,-336,7792,1088
269804,-288,7792,832
271624,-448,7856,1248
273452,-352,7728,912
275256,-384,7760,944
277068,-400,7824,784
278892,-432,7504,1056
