
t,x,y,z
3624,1808,-112,3600
5444,-5168,10256,-5696
7328,-6128,7712,1072
9204,-13632,9040,-1168
11064,-6544,6192,-2000
12956,9920,7840,7680
14828,9648,3568,1584
16700,-8480,7600,4960
18576,-9008,9648,5200
20440,-15952,7616,256
22312,-7888,6672,-1600
24236,4096,9072,7760
26132,11424,13040,-5008
28056,480,6528,-4256
29940,4656,4752,-4112
31808,2512,6528,1552
33672,-3248,6464,4000
35540,-12704,2624,400
37428,-3344,10944,6336
39308,3984,8320,4624
41184,-8784,5264,1520
43044,7616,5056,912
44916,13456,12736,3008
46856,10400,6368,4352
48736,-1296,9856,-288
50604,1088,4336,992
52464,-3824,6144,1312
54344,-10672,5504,4704
56224,-7520,6592,6480
58092,2688,7760,-656
59964,464,14448,-1680
61832,3680,5648,3184
63708,9568,7424,1552
65580,3712,8192,-1648
67452,10928,3280,1728
69360,-3120,9456,368
71272,-10384,10544,-2848
73196,-9056,4912,3120
75068,-1040,8992,-2864
76948,-11136,6432,528
78788,64,6832,2368
80688,6736,10496,4352
82560,10016,5392,64
84396,-10176,6720,0
86280,-3344,9904,400
88164,-6944,8016,1392
90040,1600,9296,848
91920,17968,13024,-1392
93852,14192,5488,-224
95712,2448,6720,-544
97592,8560,2768,4624
99456,-256,9696,1360
101332,-3712,6736,4544
103300,-11184,5968,-1024
105256,-6944,10512,5248
107196,4704,9504,1232
109084,-5536,6800,528
111024,3440,6432,-2448
112968,5728,5952,208
114868,7600,6448,-320
116808,-2400,4224,1664
118744,560,1504,4864
120640,-2320,10192,1952
122580,-4240,9040,6720
124528,-7504,5232,-496
126436,-2144,11728,832
128464,-4032,11216,-1632
130676,-6016,9872,-10848
132872,-1840,8560,5968
134912,-8544,9120,4784
136952,-4384,7648,1056
139004,-10624,9840,-1952
141200,-9168,9968,-8432
143312,-528,8656,5584
145268,-192,9504,-1040
147344,5328,7808,-2640
149368,-13392,9424,1984
151488,-5168,8224,-4048
153628,5616,12192,-1920
155732,-1088,6816,336
157692,-432,11568,-1408
159856,12144,9280,-7104
161952,-3488,12848,1968
164092,11376,11136,-2368
166264,928,7920,-4400
168228,3328,8576,-2064
170284,10288,7136,-4944
172380,144,10800,832
